epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.2775,1.92895,3.57585,2.18421,0.40215,0.0609,0.05404,0.01751,2.36869,3.58343,2.85484,0.000475525,0.000475525,0.000475525
2,112.952,2.10271,3.39949,2.35751,0.00367,0.7857,0.0126,0.00392,2.48466,3.67953,2.98218,0.000943291,0.000943291,0.000943291
3,164.885,2.07937,3.38,2.37627,0.09979,0.1792,0.04244,0.01639,2.45962,4.14754,3.02704,0.00140248,0.00140248,0.00140248
4,216.336,2.02138,3.43237,2.33257,0.35245,0.16216,0.02699,0.00951,2.53142,3.73257,2.9486,0.00139042,0.00139042,0.00139042
5,267.946,2.02524,3.41943,2.32846,0.00371,0.81372,0.01643,0.00494,2.43025,3.92738,2.90059,0.00137756,0.00137756,0.00137756
6,56.5523,1.97185,3.38189,2.31705,0.11276,0.13038,0.0622,0.01998,2.27108,3.32196,2.66365,0.00136469,0.00136469,0.00136469
7,109.784,1.93867,3.37219,2.30368,0.0859,0.08919,0.06009,0.02168,2.2575,3.28477,2.749,0.00135183,0.00135183,0.00135183
8,163.774,1.89688,3.24571,2.24659,0.09651,0.21332,0.06177,0.02417,2.132,3.8294,2.66743,0.00133897,0.00133897,0.00133897
9,217.166,1.86933,3.22955,2.21757,0.11757,0.19977,0.07267,0.02597,2.13581,3.06135,2.58478,0.00132611,0.00132611,0.00132611
10,270.659,1.87313,3.15638,2.21499,0.07847,0.13858,0.05481,0.0209,2.14792,3.2122,2.61433,0.00131325,0.00131325,0.00131325
11,323.607,1.86069,3.14964,2.19122,0.07136,0.17524,0.07906,0.03147,2.18176,3.20439,2.57463,0.00130039,0.00130039,0.00130039
12,373.938,1.83981,3.14734,2.17759,0.07827,0.23809,0.07783,0.03114,2.11573,3.52084,2.64399,0.00128753,0.00128753,0.00128753
13,426.608,1.77815,3.03701,2.12819,0.48625,0.15003,0.1478,0.05735,2.1634,2.99297,2.55027,0.00127467,0.00127467,0.00127467
14,476.782,1.78753,2.97672,2.12116,0.19504,0.29213,0.14059,0.06955,1.98384,3.42749,2.35837,0.00126181,0.00126181,0.00126181
15,531.269,1.7964,3.00415,2.12548,0.21547,0.26855,0.14978,0.07029,2.03705,2.82352,2.40552,0.00124895,0.00124895,0.00124895
16,580.981,1.7802,2.94906,2.1099,0.0957,0.22158,0.09524,0.04265,1.90858,2.9261,2.41401,0.00123608,0.00123608,0.00123608
17,634.143,1.76524,2.96293,2.1036,0.21197,0.23891,0.15803,0.06962,1.99564,2.74394,2.4199,0.00122322,0.00122322,0.00122322
18,683.403,1.74582,2.8573,2.06519,0.25259,0.23782,0.1636,0.08104,2.00028,2.98955,2.37917,0.00121036,0.00121036,0.00121036
19,736.774,1.72824,2.87163,2.06174,0.29531,0.34279,0.18147,0.08477,1.94069,2.91862,2.33074,0.0011975,0.0011975,0.0011975
20,789.538,1.68845,2.81798,2.02116,0.18212,0.31792,0.17227,0.08002,1.94312,2.98857,2.3509,0.00118464,0.00118464,0.00118464
21,843.325,1.68769,2.82494,2.05295,0.2431,0.26908,0.20276,0.09176,1.90875,2.53695,2.32009,0.00117178,0.00117178,0.00117178
22,895.045,1.62951,2.78559,1.99672,0.32093,0.25849,0.20186,0.09722,1.88976,2.81491,2.33881,0.00115892,0.00115892,0.00115892
23,948.25,1.66819,2.79614,2.0175,0.25763,0.27987,0.21296,0.10021,1.87419,2.67246,2.29047,0.00114606,0.00114606,0.00114606
24,1000.12,1.66314,2.71714,2.00004,0.23308,0.33475,0.20643,0.09977,1.87054,2.74702,2.28203,0.0011332,0.0011332,0.0011332
25,1053.16,1.62855,2.74095,1.98195,0.22589,0.39019,0.22728,0.10428,1.8636,2.94139,2.26979,0.00112034,0.00112034,0.00112034
26,1103.61,1.60958,2.68634,1.98899,0.31721,0.29687,0.23775,0.11717,1.82418,2.64192,2.35193,0.00110747,0.00110747,0.00110747
27,1153.88,1.63288,2.68442,1.9948,0.28268,0.37889,0.2249,0.11018,1.85614,2.98987,2.30016,0.00109461,0.00109461,0.00109461
28,1205.65,1.60262,2.65021,1.96646,0.2839,0.28049,0.21451,0.09799,1.87036,2.51914,2.24448,0.00108175,0.00108175,0.00108175
29,1257.49,1.61168,2.6096,1.96486,0.24374,0.36811,0.21401,0.10261,1.83533,2.79461,2.29237,0.00106889,0.00106889,0.00106889
30,1309.05,1.60479,2.64801,1.98476,0.26805,0.30308,0.20256,0.09779,1.85133,2.72758,2.3283,0.00105603,0.00105603,0.00105603
31,1360.47,1.5985,2.61908,1.96348,0.34768,0.28664,0.23266,0.11509,1.77146,2.65835,2.24794,0.00104317,0.00104317,0.00104317
32,1414.98,1.58015,2.57732,1.93508,0.27767,0.30762,0.23593,0.11389,1.83393,2.67396,2.28408,0.00103031,0.00103031,0.00103031
